Time	latency	
105.181	91	
105.439	74	
105.647	59	
105.831	61	
106.050	91	
106.298	63	
106.499	68	
106.700	63	
106.904	76	
107.141	80	
107.366	62	
107.581	83	
107.817	66	
108.030	75	
108.250	66	
108.455	66	
108.677	86	
108.944	93	
109.211	77	
109.430	62	
109.615	53	
109.794	69	
110.001	68	
110.221	80	
110.433	48	
110.537	6	
110.563	6	
110.630	51	
110.811	70	
111.033	73	
111.250	63	
111.437	60	
111.646	86	
111.882	60	
112.091	83	
112.315	48	
112.482	68	
112.684	64	
112.869	52	
112.981	6	
113.060	58	
113.232	52	
113.399	56	
113.566	51	
113.734	59	
113.929	72	
114.174	94	
114.432	61	
114.643	86	
114.911	91	
115.161	65	
115.362	66	
115.566	64	
115.778	79	
116.019	76	
116.244	66	
116.432	54	
116.597	50	
116.764	60	
116.954	67	
117.163	71	
117.380	67	
117.615	98	
117.878	65	
118.105	90	
118.349	56	
118.531	66	
118.732	64	
118.933	66	
119.150	81	
119.392	78	
119.615	63	
119.766	21	
119.821	6	
119.844	6	
119.867	6	
119.892	7	
119.915	6	
119.936	6	
119.979	27	
120.045	6	
120.117	51	
120.303	82	
120.532	59	
120.662	13	
120.699	7	
120.724	6	
120.748	6	
120.772	6	
120.817	27	
120.880	6	
120.903	4	
120.956	36	
121.037	6	
121.060	6	
121.080	6	
121.104	6	
121.128	6	
121.149	6	
121.176	6	
121.199	6	
121.221	3	
121.238	6	
121.258	7	
121.284	6	
121.334	30	
121.404	6	
121.512	94	
121.771	65	
121.964	60	
122.150	58	
122.333	62	
122.515	51	
122.706	85	
122.939	62	
123.148	74	
123.359	61	
123.557	70	
123.767	63	
123.966	67	
124.167	64	
124.195	5	
