Time	latency	
742.051	72	
742.271	73	
742.485	63	
742.667	54	
742.837	56	
743.021	68	
743.218	57	
743.402	66	
743.601	60	
743.784	59	
743.967	65	
744.168	66	
744.368	63	
744.555	59	
744.753	78	
744.969	54	
745.150	67	
745.350	62	
745.567	77	
745.803	78	
746.021	59	
746.201	57	
746.384	63	
746.568	55	
746.741	59	
746.935	69	
747.135	56	
747.318	64	
747.516	70	
747.720	62	
747.905	58	
748.086	60	
748.269	55	
748.469	84	
748.721	77	
748.934	53	
749.103	56	
749.285	66	
749.484	66	
749.701	83	
749.949	79	
750.171	58	
750.352	59	
750.535	62	
750.737	70	
750.935	55	
751.137	86	
751.368	58	
751.556	68	
751.787	79	
752.021	68	
752.219	56	
752.402	64	
752.603	65	
752.802	68	
753.007	66	
753.205	60	
753.386	60	
753.569	60	
753.770	76	
753.987	59	
754.167	58	
754.350	61	
754.537	60	
754.718	55	
754.909	78	
755.150	81	
755.386	71	
755.602	70	
755.819	70	
756.055	89	
756.322	85	
756.569	73	
756.785	65	
757.005	85	
757.237	58	
757.420	62	
757.619	72	
757.837	70	
758.054	73	
758.281	80	
758.533	86	
758.768	59	
758.952	58	
759.136	59	
759.319	62	
759.517	69	
759.731	72	
759.954	71	
760.170	68	
760.384	73	
760.622	85	
760.878	84	
761.119	69	
761.125	5	
