Time	latency	
16.154	83	
16.405	81	
16.656	82	
16.903	80	
17.156	87	
17.406	74	
17.645	85	
17.905	84	
18.181	100	
18.457	73	
18.692	85	
18.938	73	
19.172	82	
19.423	83	
19.675	82	
19.922	80	
20.173	88	
20.432	81	
20.677	82	
20.928	80	
21.170	81	
21.420	84	
21.668	75	
21.902	82	
22.157	85	
22.429	97	
22.723	83	
22.977	95	
23.257	85	
23.507	80	
23.754	80	
23.986	70	
24.198	71	
24.445	94	
24.716	77	
24.958	85	
25.222	91	
25.505	90	
25.774	86	
26.038	88	
26.301	85	
26.551	73	
26.782	84	
27.028	73	
27.252	73	
27.487	85	
27.736	77	
27.984	86	
28.234	74	
28.468	84	
28.715	76	
28.953	83	
29.203	84	
29.454	80	
29.704	88	
29.716	12	
